ID,Company ID,User ID,Action,Entity,Resource Type,Resource ID,Description,IP Address,Browser,User Agent,Status,Before Values,After Values,Created At
277,3,3,User Login,User,User,3,User 'prathyusha12@example.com' logged in successfully,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",SUCCESS,,{'login_time': '2026-09-21T04:56:43.502754+05:30'},2026-09-21T10:26:43.574368+05:30
276,3,3,User Login,User,User,3,User 'prathyusha12@example.com' logged in successfully,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",SUCCESS,,{'login_time': '2026-09-17T10:38:26.781260+05:30'},2026-09-17T16:08:26.808613+05:30
275,3,3,User Login,User,User,3,User 'prathyusha12@example.com' logged in successfully,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",SUCCESS,,{'login_time': '2026-09-17T10:17:42.113532+05:30'},2026-09-17T15:47:42.173818+05:30
274,3,3,User Login,User,User,3,User 'prathyusha12@example.com' logged in successfully,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",SUCCESS,,{'login_time': '2026-09-17T09:58:38.849239+05:30'},2026-09-17T15:28:38.888185+05:30
273,3,3,User Login,User,User,3,User 'prathyusha12@example.com' logged in successfully,,,,SUCCESS,,,2026-09-17T15:21:30.619071+05:30
272,3,3,User Login,User,User,3,User 'prathyusha12@example.com' logged in successfully,,,,SUCCESS,,,2026-09-17T13:20:42.725069+05:30
271,3,3,User Login,,,,,,,,,,,2026-09-09T10:35:01.152737+05:30
270,3,3,User Login,,,,,,,,,,,2026-09-08T14:46:37.707983+05:30
269,3,3,User Login,,,,,,,,,,,2026-09-07T12:55:28.213809+05:30
268,3,3,User Login,,,,,,,,,,,2026-09-07T12:31:19.059125+05:30
267,3,3,User Login,,,,,,,,,,,2026-09-07T11:02:49.374768+05:30
266,3,3,User Login,,,,,,,,,,,2026-09-07T11:01:55.745178+05:30
265,3,3,User Login,,,,,,,,,,,2026-09-03T16:52:43.785326+05:30
264,3,3,User Login,,,,,,,,,,,2026-09-03T16:34:08.748074+05:30
263,3,3,User Login,,,,,,,,,,,2026-09-03T12:28:06.991734+05:30
262,3,3,User Login,,,,,,,,,,,2026-09-03T11:30:07.695904+05:30
261,3,3,User Login,,,,,,,,,,,2026-09-01T13:33:53.900369+05:30
260,3,3,User Login,,,,,,,,,,,2026-09-01T12:53:55.923081+05:30
259,3,3,User Login,,,,,,,,,,,2026-08-31T16:16:30.828545+05:30
258,3,3,User Login,,,,,,,,,,,2026-08-31T11:16:28.633652+05:30
256,3,3,User Login,,,,,,,,,,,2026-08-28T11:02:59.484286+05:30
255,3,3,User Login,,,,,,,,,,,2026-08-28T11:02:19.535817+05:30
257,3,3,Forecast Product CSV Exported,,,,,,,,,,,2026-08-28T06:26:43.173739+05:30
254,3,3,User Login,,,,,,,,,,,2026-08-26T19:16:36.928721+05:30
253,3,3,Product Activated,Product,,,,,,,,,,2026-08-25T09:30:25.179890+05:30
252,3,3,Product Activated,Product,,,,,,,,,,2026-08-25T09:30:23.921755+05:30
251,3,3,User Login,,,,,,,,,,,2026-08-24T13:52:29.657138+05:30
250,3,3,User Login,,,,,,,,,,,2026-08-24T12:45:32.492308+05:30
249,3,3,User Login,,,,,,,,,,,2026-08-24T12:36:27.353932+05:30
248,3,3,User Login,,,,,,,,,,,2026-08-24T12:32:22.887704+05:30
247,3,3,User Login,,,,,,,,,,,2026-08-24T12:19:23.034762+05:30
246,3,3,User Login,,,,,,,,,,,2026-08-24T12:17:10.849496+05:30
245,3,3,User Login,,,,,,,,,,,2026-08-24T12:13:13.563167+05:30
244,3,3,User Login,,,,,,,,,,,2026-08-24T12:02:06.118352+05:30
243,3,3,User Login,,,,,,,,,,,2026-08-24T11:35:19.339361+05:30
242,3,3,User Login,,,,,,,,,,,2026-08-24T11:29:29.251113+05:30
241,3,3,User Login,,,,,,,,,,,2026-08-24T10:49:38.448705+05:30
